1/1/00,3.15%
1/1/01,3.10%
1/1/02,3.18%
1/1/03,3.30%
1/1/04,3.40%
1/1/05,3.48%
1/1/06,3.43%
1/1/07,3.67%
1/1/08,3.87%
1/1/09,3.76%
1/1/10,3.91%
1/1/11,3.98%
1/1/12,4.01%
1/1/13,4.45%
1/1/14,4.16%
1/1/15,4.24%
1/1/16,4.05%
1/1/17,4.23%
1/1/18,4.57%
1/1/19,4.50%
1/1/20,4.97%
1/1/21,5.09%
1/1/22,4.30%
1/1/23,4.36%
1/1/24,4.06%
1/1/25,3.86%
1/1/26,3.68%
1/1/27,3.34%
1/1/28,3.33%
1/1/29,3.60%
1/1/30,3.29%
1/1/31,3.34%
1/1/32,3.68%
1/1/33,3.31%
1/1/34,3.12%
1/1/35,2.79%
1/1/36,2.65%
1/1/37,2.68%
1/1/38,2.56%
1/1/39,2.36%
1/1/40,2.21%
1/1/41,1.95%
1/1/42,2.46%
1/1/43,2.47%
1/1/44,2.48%
1/1/45,2.37%
1/1/46,2.19%
1/1/47,2.25%
1/1/48,2.44%
1/1/49,2.31%
1/1/50,2.32%
1/1/51,2.57%
1/1/52,2.68%
1/1/53,2.83%
1/1/54,2.48%
1/1/55,2.61%
1/1/56,2.90%
1/1/57,3.46%
1/1/58,3.09%
1/1/59,4.02%
1/1/60,4.72%
1/1/61,3.84%
1/1/62,4.08%
1/1/63,3.83%
1/1/64,4.17%
1/1/65,4.19%
1/1/66,4.61%
1/1/67,4.58%
1/1/68,5.53%
1/1/69,6.04%
1/1/70,7.79%
1/1/71,6.24%
1/1/72,5.95%
1/1/73,6.46%
1/1/74,6.99%
1/1/75,7.50%
1/1/76,7.74%
1/1/77,7.21%
1/1/78,7.96%
1/1/79,9.10%
1/1/80,10.80%
1/1/81,12.57%
1/1/82,14.59%
1/1/83,10.46%
1/1/84,11.67%
1/1/85,11.38%
1/1/86,9.19%
1/1/87,7.08%
1/1/88,8.67%
1/1/89,9.09%
1/1/90,8.21%
1/1/91,8.09%
1/1/92,7.03%
1/1/93,6.60%
1/1/94,5.75%
1/1/95,7.78%
1/1/96,5.65%
1/1/97,6.58%
1/1/98,5.54%
1/1/99,4.72%
1/1/00,6.66%
1/1/01,5.16%
1/1/02,5.04%
1/1/03,4.05%
1/1/04,4.15%
1/1/05,4.22%
1/1/06,4.42%
1/1/07,4.76%
1/1/08,3.74%
1/1/09,2.52%
1/1/10,3.73%
1/1/11,3.39%
1/1/12,1.97%
1/1/13,1.91%
1/1/14,2.86%
1/1/15,1.88%
1/1/16,2.09%
1/1/17,2.43%
1/1/18,2.58%
4/18/18,2.87%
