"Date";"Value";"FVal";"PVal"
2012-03-22;2,3319;0,098;0,753867
2012-03-23;2,2882;0,125;0,723618
2012-03-26;2,2893;0,1;0,752151
2012-03-27;2,2304;0,093;0,760772
2012-03-28;2,2422;0,065;0,798606
2012-03-29;2,201;0,077;0,781998
2012-03-30;2,2649;0,082;0,775215
2012-04-02;2,2525;0,131;0,717107
2012-04-03;2,3323;0,15;0,69883
2012-04-04;2,2763;0,133;0,71509
2012-04-05;2,2178;0,059;0,807629
2012-04-06;2,0791;0,015;0,90293
2012-04-09;2,0649;0,001;0,979003
2012-04-10;2,0124;0,018;0,892688
2012-04-11;2,0572;0,045;0,831155
2012-04-12;2,0939;0,108;0,743045
2012-04-13;2,0282;0,202;0,653456
2012-04-16;2,0071;0,293;0,588178
2012-04-17;2,0454;0,416;0,518977
2012-04-18;2,0188;0,576;0,448147
2012-04-19;1,9925;0,74;0,389732
2012-04-20;2,0057;0,955;0,328482
2012-04-23;1,9693;1,146;0,284565
2012-04-24;2,0069;1,333;0,24854
2012-04-25;2,0184;1,561;0,21167
2012-04-26;1,9905;1,826;0,176817
2012-04-27;1,9711;2,113;0,146252
2012-04-30;1,9633;2,366;0,124201
2012-05-01;1,9942;2,678;0,101923
2012-05-02;1,96;2,988;0,084088
2012-05-03;1,968;3,402;0,065328
2012-05-04;1,9107;3,822;0,05078
2012-05-07;1,9157;4,324;0,03775
2012-05-08;1,8781;4,864;0,027574
2012-05-09;1,8677;5,379;0,020513
2012-05-10;1,8892;6,001;0,014412
2012-05-11;1,8444;6,772;0,009354
2012-05-14;1,7851;7,622;0,005835
2012-05-15;1,7625;8,524;0,003558
2012-05-16;1,7544;9,617;0,001964
2012-05-17;1,6903;10,717;0,001086
2012-05-18;1,7037;11,782;0,000614
2012-05-21;1,7302;12,764;0,000365
2012-05-22;1,7701;13,937;0,000196
2012-05-23;1,7116;15,002;0,000112
2012-05-24;1,7577;16,155;6,1e-05
2012-05-25;1,7357;17,36;3,3e-05
2012-05-29;1,7268;18,959;1,4e-05
2012-05-30;1,6133;20,736;6e-06
2012-05-31;1,574;23,021;2e-06
2012-06-01;1,4448;25,129;1e-06
2012-06-04;1,5153;27,113;0
2012-06-05;1,5639;28,771;0
2012-06-06;1,6595;30,483;0
2012-06-07;1,6526;32,246;0
2012-06-08;1,6466;34,276;0
2012-06-11;1,589;35,999;0
2012-06-12;1,67;38,072;0
2012-06-13;1,594;39,988;0
2012-06-14;1,6371;42,123;0
2012-06-15;1,5941;44,318;0
2012-06-18;1,588;46,344;0
2012-06-19;1,6311;48,296;0
2012-06-20;1,6517;50,388;0
2012-06-21;1,6272;52,203;0
2012-06-22;1,6886;54,345;0
2012-06-25;1,6258;56,369;0
2012-06-26;1,6539;58,495;0
2012-06-27;1,6376;60,905;0
2012-06-28;1,5865;62,942;0
2012-06-29;1,6632;65,402;0
2012-07-02;1,5865;67,627;0
2012-07-03;1,6353;70,029;0
2012-07-05;1,6065;72,723;0
2012-07-06;1,5577;75,655;0
2012-07-09;1,5208;78,685;0
2012-07-10;1,51;81,692;0
